Time (s),q0,q1,q2,q3
4733.5515,0.80286695773,0.00032081584414,-0.59615810908,0.00023289252371
4733.601,0.80261948886,0.00058850056511,-0.5964909927,0.00032463744449
4733.65,0.80240991806,0.00063797360078,-0.59677274931,0.0004495174493
4733.6995,0.80283024374,0.00036123395939,-0.596207486,0.00032073873586
4733.749,0.80309601029,-0.00019377392135,-0.59584958361,0.00018552096987
4733.7985,0.802786133,0.000048279969498,-0.59626699355,0.00030780336829
4733.848,0.80334710166,0.00080642857935,-0.59551034551,0.00046077422067
4733.8975,0.80390457235,0.00055120023224,-0.59475790726,0.00040802076745
4733.947,0.80422848201,0.0009102798432,-0.59431940071,0.00041237023442
4733.9965,0.80430142558,0.00065387690236,-0.59422101248,0.00042140684225
4734.046,0.80406293187,0.00069544166058,-0.59454370296,0.00032129382838
4734.0955,0.80429213523,-0.00026631944363,-0.59423400621,0.00019009424325
4734.145,0.80513085901,0.00053509671192,-0.59309695748,-0.00011216464317
4734.1945,0.80477589292,0.0011600546275,-0.59357754653,-0.00033571173645
4734.244,0.80408285118,0.00036361495262,-0.59451697537,-0.00044968717632
4734.2935,0.80398091298,0.000076289549584,-0.59465485918,-0.00053310396439
4734.343,0.80417896389,-0.0010554278828,-0.59438595369,-0.00064666474669
4734.392,0.80391217953,-0.0029168069507,-0.59474056869,-0.00059648080635
4734.4415,0.80322283514,-0.0021817251695,-0.59567462974,-0.00022950298388
4734.491,0.80313438183,-0.00099302870388,-0.59579703681,0.00026369283629
4734.5405,0.80384856707,-0.00059697504439,-0.59483358589,0.00036046213418
4734.59,0.80452381799,-0.00052373428136,-0.59392007083,0.00031852551023
4734.6395,0.80513734112,0.00048528432906,-0.59308804288,0.00044702648861
4734.689,0.8052868491,0.00077360451302,-0.59288460584,0.00057996421871
4734.7385,0.80587259442,0.0017184013242,-0.59208631078,0.00045743451953
4734.788,0.80654065393,0.0022182361153,-0.59117439492,0.00029627660418
4734.8375,0.80659230498,0.0021537501466,-0.59110421963,0.00012825182539
4734.887,0.80615973655,0.0020942993676,-0.59169425589,-0.000024901323312
4734.9365,0.80604733184,0.0030627836446,-0.59184313158,-0.00016061174878
4734.986,0.80539541978,0.0020904309944,-0.59273415469,-0.00026411981445
4735.0355,0.80520241568,0.0012450010594,-0.59299865492,-0.00033914383774
4735.0845,0.8055417284,0.0014379412356,-0.59253726629,-0.0002102378466
4735.134,0.8056248895,0.0008582310352,-0.59242535323,-0.000041385539361
4735.1835,0.80598875673,0.00012405367914,-0.59193083094,0.0000043358372864
4735.233,0.80609226701,0.0012796006246,-0.59178848102,0.00011584169796
4735.2825,0.8059303568,0.0013525698297,-0.59200879859,0.00011372584366
4735.332,0.80587653984,0.0012856202139,-0.59208221025,0.00007760151095
4735.3815,0.80564505228,0.0033094813489,-0.59238925509,0.00025986067201
4735.431,0.80605843117,0.0036375538229,-0.59182476952,0.00012620563951
4735.4805,0.80599552692,0.00085138705088,-0.59192082797,-0.00046811417765
4735.53,0.80600421855,0.00015246976313,-0.59190920299,-0.00081965952322
4735.5795,0.80554874888,-0.0010772324134,-0.59252778271,-0.00093779581147
4735.629,0.80561040855,-0.00074365903165,-0.59244372349,-0.001323292088
4735.6785,0.8055254512,-0.0017053456138,-0.59255623243,-0.0017177536418
4735.728,0.80510071216,-0.0041019825247,-0.59312084743,-0.0019176457299
4735.7775,0.80535588108,-0.0058719483675,-0.59275991555,-0.0017628217085
4735.8265,0.80551213324,-0.0058394532646,-0.59254853137,-0.00153034717
4735.876,0.80597503674,-0.0070013467997,-0.59190646474,-0.0013993930186
4735.9255,0.80587066037,-0.008990858641,-0.59202144279,-0.0015014947775
4735.975,0.80420862766,-0.0095613284286,-0.59426911155,-0.0011345666002
4736.0245,0.80267732806,-0.0061061564788,-0.59638220296,-0.00029977725133
4736.074,0.80179143549,-0.004458997521,-0.59758732511,0.000013845477908
4736.1235,0.80152623422,-0.003476167216,-0.59794950288,-0.000064188724007
4736.173,0.80033978016,-0.0039889726675,-0.59953342218,-0.0000093008526398
4736.2225,0.79870458353,-0.0039706175507,-0.60171024772,0.000015000274302
4736.272,0.79755289215,-0.0026081618359,-0.60324338367,-0.000042108488676
4736.3215,0.79680630495,0.000042499853066,-0.60423480174,0.00012225853178
4736.371,0.79643235533,0.00084629294055,-0.60472703486,0.000021679311651
4736.4205,0.79540170163,0.00085227819671,-0.60608188034,-0.00040123939856
4736.47,0.79458160685,0.0024440762375,-0.60715212081,-0.00063145280046
4736.519,0.79324769081,0.0037951759552,-0.60888703686,-0.00052345571283
4736.5685,0.79171681374,0.0045734420078,-0.61087104,-0.0003780943027
4736.618,0.79032238161,0.0039014914645,-0.61267873461,-0.00028221848268
4736.6675,0.78869503063,0.0033281118429,-0.61477559726,-0.00019325692938
4736.717,0.78757665728,0.0016411366043,-0.61621450077,-0.000067973009035
4736.7665,0.78673525249,0.00061263745329,-0.61729024169,0.00015709597752
4736.816,0.78528998681,0.00096482237832,-0.61912710513,0.00057743406165
4736.8655,0.78422307903,0.00092585661096,-0.6204776454,0.00089256665899
4736.915,0.78341545419,0.0020407566177,-0.62149417721,0.0010242726209
4736.9645,0.78246231729,0.0028745591804,-0.62269028555,0.0011257040609
4737.014,0.78238447598,0.0040337747356,-0.62278108345,0.0014080154728
4737.0635,0.78255316916,0.0051048196875,-0.62256123224,0.0014108024552
4737.113,0.78229494062,0.0058617593675,-0.62287899488,0.0014224593836
4737.1625,0.78233650018,0.0060897775823,-0.62282474643,0.0013602709603
4737.212,0.78291408798,0.0062795953413,-0.62209720514,0.001079296952
4737.261,0.78423501463,0.0066831900767,-0.62042732479,0.0008434838844
4737.3105,0.78543648036,0.0056401057085,-0.61891607308,0.00078677781547
4737.36,0.7864360101,0.0070334701409,-0.6176309693,0.00095816183452
4737.4095,0.7873589821,0.008255514217,-0.61643814581,0.0013008415759
4737.459,0.78908523584,0.0099141517558,-0.61420155929,0.0016262642663
4737.5085,0.79021963938,0.01335812658,-0.61267585616,0.0016665150129
4737.558,0.79131501745,0.016162622933,-0.61119312312,0.0015096453505
4737.6075,0.79192426485,0.017949856251,-0.61035408471,0.0012855651923
4737.657,0.79264923304,0.020746844066,-0.60932376398,0.0011456280675
4737.7065,0.79280655845,0.021017983863,-0.60911021635,0.00086577664979
4737.756,0.79304535682,0.021020836411,-0.60879938268,0.00070577348689
4737.8055,0.79376471167,0.021392632137,-0.6078482872,0.00063051169933
4737.855,0.79456313952,0.020225307807,-0.60684438769,0.00049332848749
4737.9045,0.79443966873,0.020835084241,-0.60698532203,0.00057519824977
4737.9535,0.79430314584,0.022706175486,-0.60709638957,0.00095701227829
4738.003,0.79509730412,0.023602496034,-0.60602170725,0.00094313513564
4738.0525,0.79675920418,0.026992400974,-0.60369309027,0.00091301867374
4738.102,0.79821299481,0.028004598804,-0.60172393571,0.00025011435628
4738.1515,0.79953942185,0.027668608268,-0.59997542003,-0.00081017675467
4738.201,0.80080131916,0.027180851747,-0.59831102289,-0.0015389691796
4738.2505,0.80151540285,0.025055368506,-0.59744622194,-0.0018164240171
4738.3,0.80234530723,0.021513459875,-0.5964686945,-0.0020677273614
4738.3495,0.8031500335,0.018921706008,-0.59547401927,-0.0016386269232
4738.399,0.8038048103,0.018853815334,-0.59459354153,-0.00093859090904
4738.4485,0.80410281881,0.017474237773,-0.59423310161,-0.00057336037644
4738.498,0.80475527213,0.016591293892,-0.59337480428,-0.00015029111096
4738.5475,0.80602925335,0.015935310392,-0.5916611334,0.00010887373282
4738.597,0.80591891419,0.014271551118,-0.59185388486,-0.000074548149099
4738.6465,0.80620368303,0.012485947488,-0.59150629278,-0.00016788227322
4738.6955,0.80486796995,0.013904910425,-0.59329099442,-0.00001869279317
4738.745,0.80304595693,0.015145499122,-0.59572457866,-0.00017689479538
4738.7945,0.80119095509,0.012930324368,-0.59826873639,-0.00061583645145
4738.844,0.79874852336,0.012524839818,-0.60153403873,-0.00085151010004
4738.8935,0.79681229482,0.013400256306,-0.60407782658,-0.00076117306599
4738.943,0.79587762191,0.012593342287,-0.60532573809,-0.00098461809229
4738.9925,0.7959018255,0.012244497949,-0.60530056718,-0.0012569066482
4739.042,0.7949875474,0.011978766448,-0.60650652324,-0.0010704672063
4739.0915,0.79282673401,0.012790839066,-0.60931192605,-0.0010682024026
4739.141,0.78967000572,0.013635712676,-0.61337927381,-0.0011026653202
4739.1905,0.78719308964,0.013949543697,-0.61654809931,-0.0009439753469
4739.24,0.7851748697,0.015350396435,-0.61908313739,-0.00092645842514
4739.2895,0.78317167305,0.016508442846,-0.6215854733,-0.0010493940323
4739.339,0.78188343739,0.016752667961,-0.62319856503,-0.0010894967096
4739.388,0.77955690558,0.016349008782,-0.62611701542,-0.0011062859594
4739.4375,0.77746270364,0.015644591978,-0.62873375565,-0.00092504384737
4739.487,0.77427800796,0.0161994811,-0.63263802878,-0.00051744574967
4739.5365,0.77223770699,0.016893560526,-0.63510889274,-0.00047527355428
